Product Name;Variations;Rating;Username;Date;Review
Kondisi Barang: mulusWarna: bagussPermukaan: mulusPesanan ke 2 Alhamdulillah mulus;Variasi: WHITE,128GB;5;roviear27;2024-09-26;None
Kondisi Barang: barang bagusWarna: sesuai dengan yang ditawarkanKinerja: bagus;Variasi: BLACK,64GB;5;suhdidj;2024-09-26;None
None;Variasi: PURPLE,128GB;5;novhi.ananda;2024-09-26;None
None;Variasi: BLACK,128GB;5;arbarmuhammad;2024-09-26;None
None;Variasi: BLACK,128GB;5;dwiagungpangestu23;2024-09-25;None
None;Variasi: PINK,128GB SIM STIKER;5;lisanuraulia113;2024-09-25;None
Kondisi Barang: barang mulusWarna: hitam;Variasi: BLACK,128GB;5;r*****y;2024-10-01;None
Terimakasih byk ka baguss .besok2 ada rezeki beli lgi;Variasi: PURPLE,128GB SIM STIKER;1;dx2dn6habi;2024-09-25;None
None;Variasi: BLACK,128GB;5;muhtarcebong;2024-09-25;None
None;Variasi: WHITE,64GB;4;rendy_nugroho02;2024-09-25;None
None;Variasi: PURPLE,64GB SIM STIKER;4;doel_fikri72;2024-09-24;None
None;Variasi: GOLD,256 GB;4;y*****e;2024-09-24;None
Kondisi Barang: mulusBaru 1 bulan kamera nya udah goyang yang 1x, sedih sih huhuhu padahal mulus banget loh;Variasi: SILVER,64GB;5;d*****i;2024-09-24;None
"Kondisi Barang: goodWarna: goodKinerja: goodBarang sesuai..
Tp saya saranin kurirnya ganti sangat bget lelet,lambat...";Variasi: GREEN,64GB;5;cepmaulana33;2024-09-24;None
None;Variasi: BLACK,64GB;5;syifanuraziza;2024-09-24;None
None;Variasi: GRAY,256GB;5;m*****1;2024-09-24;None
Bagus,, bh 100 tapi belum cek 3utools , emang awet sih pasti bh aslinya di 80an . Tapi overall bagus,;Variasi: WHITE,64GB SIM STIKER;5;g*****e;2024-09-23;None
Permukaan: bagus mulusPerforma: bagus cuma masalah jaringanPackaging: aman bagusIni pertama kali saya beli iphone online toko ini ramah cuma ada sedikit kendala jaringan nya gak bisa tapi gak papa peforma ip nya bagus 👍;Variasi: BLUE,128GB SIM STIKER;5;gaizalhakim;2024-09-23;None
Kondisi Barang: bagusWarna: hitamPermukaan: mulusPuas kak hehe, next bisa beli lagi di toko ini terpercaya;Variasi: BLACK,128GB;4;ayu38382;2024-09-23;None
None;Variasi: GRAY,256GB;5;andriantamunte;2024-09-23;None
None;Variasi: BLACK,128GB;5;fitri_lafiju;2024-09-23;None
None;Variasi: GREEN,256 GB;5;yandibagusaditama;2024-09-23;None
Kondisi Barang: mulusWarna: sesuaiBH dapet 86,bintang 4 dlu, test dlu 1minggu;Variasi: GREEN,64GB;4;m*****i;2024-09-23;None
None;Variasi: BLACK,64GB;5;utoyuegpns;2024-09-23;None
Permukaan: mulusPerforma: baikPackaging: bagusbagus seperti baru;Variasi: MIDNIGHT,128GB SIM STIKER;5;amina_collections;2024-09-22;None
Kondisi Barang: mulus baget smoga awet . buat kalian yg mau beli silahkan tokonya amanh bagetWarna: okPermukaan: mulus pokonya.;Variasi: PURPLE,128GB;5;aditiya1228;2024-09-22;None
None;Variasi: GRAY,256GB;5;a*****1;2024-09-22;None
None;Variasi: GRAY,64GB;4;cicisyifa..;2024-09-22;None
None;Variasi: GREEN,64GB;4;wawanseleb28;2024-09-22;None
None;Variasi: BLUE,128GB;5;afinbahrani05;2024-09-21;None
None;Variasi: PURPLE,128GB;5;iamnaura;2024-09-21;None
None;Variasi: BLUE,128GB;5;nurfadillah220;2024-09-21;None
None;Variasi: MIDNIGHT,128GB SIM STIKER;5;zicoyansah;2024-09-21;None
Kondisi Barang: mulusPermukaan: mulusKinerja: sangat baik;Variasi: GREEN,256 GB;5;linduajie_1;2024-09-21;None
Kondisi Barang: okWarna: okPerforma: ok;Variasi: GOLD,256GB;4;esramatasak;2024-09-21;None
None;Variasi: GOLD,256GB;5;viahasibuan18;2024-09-21;None
None;Variasi: BLACK,128GB;5;yanuarardhiansyah;2024-09-21;None
None;Variasi: GREEN,256GB;5;ippankpank972;2024-09-21;None
None;Variasi: GOLD,64 GB;5;alpicoz;2024-09-20;None
Warna: mantap bangeeeetssssMantap ip pertama ku;Variasi: GRAY,256GB;5;forbia8aq0;2024-09-20;None
None;Variasi: GOLD,64 GB;5;idharegina;2024-09-20;None
None;Variasi: GOLD,64 GB;5;ikhsanbz15;2024-09-20;None
None;Variasi: WHITE,128GB;5;nengg.s.a;2024-09-20;None
None;Variasi: GRAY,64GB;5;ernani10_0;2024-09-20;None
Kondisi Barang: baik cuma kamera aja pas di cek di 3utools pernah di gantiWarna: bagusPermukaan: mulusOver all bagus, cuma di kamera aja pernah diganti, sama BH nya, di 3utools 86% di hp nya 100% , selain itu aman mantap;Variasi: PURPLE,128GB;5;r*****7;2024-09-19;None
None;Variasi: SILVER,256 GB;5;a*****6;2024-09-19;None
